Index,ReachabilityDist
0,UNDEFINED
349,1.08757
404,1.08757
420,1.08757
515,1.08757
366,1.16383
446,1.22646
139,0.969433
355,0.969433
383,0.969433
597,0.969433
429,1.2339
204,1.29201
273,1.35569
119,1.37488
59,1.39578
78,1.39578
178,1.39578
552,0.642339
216,1.29279
302,1.45114
344,1.45362
507,1.48899
479,1.49258
308,1.50473
517,1.51809
568,1.54483
249,1.55113
367,1.5599
38,1.30633
407,1.57385
491,1.57385
80,1.58654
117,1.58654
441,1.59276
434,1.59781
580,1.60443
561,1.61713
169,1.58423
498,1.58423
369,1.62373
586,1.72566
125,1.73217
374,1.73217
69,1.76111
168,1.81609
502,1.85305
530,1.85626
365,1.8864
82,1.94438
508,1.97692
34,1.98348
382,2.08319
81,2.10616
565,2.17387
393,2.27161
319,2.30846
25,UNDEFINED
28,2.44385
35,0.956347
85,0.956347
148,0.956347
463,0.956347
497,0.956347
564,0.956347
588,0.956347
445,1.04719
272,1.0686
130,1.03668
184,1.03668
188,1.03668
238,1.03668
324,1.03668
401,1.03668
440,1.03668
295,1.14048
512,1.1646
129,1.18393
79,1.13816
201,1.13816
330,1.13816
371,1.13816
448,1.13816
473,1.13816
173,1.11171
180,1.11171
217,1.11171
278,1.11171
301,1.11171
341,1.11171
406,1.11171
105,1.08692
421,1.03562
274,1.08692
425,1.08692
435,1.08692
501,1.08692
581,1.08692
159,1.1058
430,1.15248
63,1.16078
248,1.18844
47,1.23471
316,1.27142
199,1.27212
587,1.27628
144,1.30549
359,1.31628
571,1.3189
88,1.25865
456,1.25865
385,1.15083
318,1.35805
372,1.37833
303,1.38827
264,1.44378
457,1.45317
348,1.45595
263,1.48455
419,1.49953
399,1.53659
135,1.56087
186,1.57937
219,1.60443
56,1.62253
528,1.647
227,1.65112
422,1.65112
595,1.68167
255,1.88786
573,1.91779
549,2.09067
